transaction_id,timestamp,sender_id,receiver_id,amount,transaction_type,device_id,ip_address,is_fraud
TXN000001,1774545854,ACC_N4340,ACC_N1771,351.14,PAYMENT,DEV_N1785,192.168.1.235,0
TXN000002,1774545859,ACC_N1907,ACC_N3402,412.62,PAYMENT,DEV_N4817,192.168.1.17,0
TXN000003,1774545861,ACC_N3512,ACC_N2581,425.79,TRANSFER,DEV_N3303,192.168.1.238,0
TXN000004,1774545862,ACC_N3414,ACC_N1023,435.51,TRANSFER,DEV_N3237,192.168.1.22,0
TXN000005,1774545865,ACC_N4462,ACC_N4639,320.63,DEPOSIT,DEV_N1679,192.168.1.42,0
TXN000006,1774545869,ACC_N2642,ACC_N1194,421.33,DEPOSIT,DEV_N4618,192.168.1.147,0
TXN000007,1774545871,ACC_N4943,ACC_N2953,44.47,PAYMENT,DEV_N4543,192.168.1.214,0
TXN000008,1774545876,ACC_N3685,ACC_N1906,141.12,DEPOSIT,DEV_N4492,192.168.1.246,0
TXN000009,1774545877,ACC_N2815,ACC_N2146,161.59,TRANSFER,DEV_N3921,192.168.1.82,0
TXN000010,1774545882,ACC_N2205,ACC_N4473,290.9,DEPOSIT,DEV_N4087,192.168.1.104,0
TXN000011,1774545885,ACC_N4766,ACC_N2554,220.99,PAYMENT,DEV_N4244,192.168.1.70,0
TXN000012,1774545890,ACC_N3001,ACC_N2524,178.94,TRANSFER,DEV_N2503,192.168.1.219,0
TXN000013,1774545895,ACC_N2977,ACC_N4447,42.41,TRANSFER,DEV_N2807,192.168.1.247,0
TXN000014,1774545896,ACC_N3722,ACC_N4490,146.5,TRANSFER,DEV_N1770,192.168.1.45,0
TXN000015,1774545900,ACC_N4900,ACC_N2095,137.43,TRANSFER,DEV_N1982,192.168.1.96,0
TXN000016,1774545903,ACC_N2600,ACC_N1490,288.35,DEPOSIT,DEV_N2609,192.168.1.234,0
TXN000017,1774545904,ACC_N2917,ACC_N1263,318.02,PAYMENT,DEV_N4919,192.168.1.92,0
TXN000018,1774545905,ACC_N2789,ACC_N3415,473.58,PAYMENT,DEV_N4013,192.168.1.103,0
TXN000019,1774545907,ACC_N1081,ACC_N1570,421.37,DEPOSIT,DEV_N4969,192.168.1.233,0
TXN000020,1774545909,ACC_N4496,ACC_N3592,160.92,DEPOSIT,DEV_N2589,192.168.1.12,0
TXN000021,1774545913,ACC_N1743,ACC_N1509,156.05,PAYMENT,DEV_N1150,192.168.1.148,0
TXN000022,1774545918,ACC_N1858,ACC_N2555,80.64,PAYMENT,DEV_N2458,192.168.1.153,0
TXN000023,1774545922,ACC_N1939,ACC_N3209,441.35,PAYMENT,DEV_N3661,192.168.1.80,0
TXN000024,1774545926,ACC_N1023,ACC_N2603,53.26,PAYMENT,DEV_N4036,192.168.1.247,0
TXN000025,1774545928,ACC_N4975,ACC_N4938,12.93,DEPOSIT,DEV_N3107,192.168.1.167,0
TXN000026,1774545931,ACC_N2243,ACC_N3658,200.59,TRANSFER,DEV_N4882,192.168.1.179,0
TXN000027,1774545932,ACC_N4194,ACC_N2240,268.61,PAYMENT,DEV_N4729,192.168.1.127,0
TXN000028,1774545934,ACC_N4357,ACC_N3268,318.18,TRANSFER,DEV_N4516,192.168.1.73,0
